epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,6866.64,0.81526,0.60755,1.18024,0.86707,0.8696,0.88591,0.67992,0.34725,0.23443,0.3594,0.0057925,0.0057925,0.0057925
87,6945.81,0.81279,0.60335,1.17177,0.87807,0.8655,0.88462,0.68242,0.34716,0.25725,0.36077,0.005743,0.005743,0.005743
88,7025.07,0.80632,0.59854,1.17484,0.8619,0.86871,0.88481,0.67945,0.34678,0.24136,0.36177,0.0056935,0.0056935,0.0056935
89,7104.28,0.79474,0.59078,1.16303,0.85068,0.87858,0.8832,0.68314,0.34449,0.24084,0.36244,0.005644,0.005644,0.005644
90,7183.36,0.7965,0.59179,1.16963,0.86388,0.86866,0.88424,0.68989,0.34407,0.22723,0.36119,0.0055945,0.0055945,0.0055945
91,7263.14,0.79364,0.58588,1.16231,0.86016,0.87936,0.88912,0.69823,0.34397,0.18078,0.36309,0.005545,0.005545,0.005545
92,7342.89,0.78869,0.58814,1.16102,0.8656,0.86922,0.89208,0.69927,0.34123,0.19256,0.3611,0.0054955,0.0054955,0.0054955
93,7422.67,0.79339,0.58893,1.16436,0.85379,0.88275,0.8969,0.70147,0.34339,0.1953,0.3609,0.005446,0.005446,0.005446
94,7502.59,0.7849,0.58407,1.16036,0.87511,0.87328,0.89562,0.69892,0.34539,0.19118,0.36308,0.0053965,0.0053965,0.0053965
95,7582.01,0.77906,0.57219,1.14908,0.87388,0.8723,0.89516,0.70041,0.34287,0.20033,0.36249,0.005347,0.005347,0.005347
96,7661.2,0.77971,0.57951,1.15139,0.89724,0.8448,0.89395,0.69378,0.34151,0.23098,0.36102,0.0052975,0.0052975,0.0052975
97,7740.47,0.77872,0.57511,1.14982,0.87733,0.8744,0.89227,0.69035,0.34149,0.22027,0.36059,0.005248,0.005248,0.005248
98,7819.62,0.77868,0.57587,1.15371,0.86966,0.88522,0.88876,0.68641,0.34155,0.2214,0.36158,0.0051985,0.0051985,0.0051985
99,7898.83,0.76708,0.56934,1.14822,0.87451,0.87557,0.88755,0.68676,0.34129,0.2284,0.36021,0.005149,0.005149,0.005149
100,7978.05,0.76602,0.56638,1.14466,0.87464,0.87055,0.88865,0.6882,0.34113,0.2191,0.36111,0.0050995,0.0050995,0.0050995
101,8057.28,0.75703,0.56285,1.13964,0.87254,0.87942,0.88932,0.68678,0.34116,0.22534,0.36006,0.00505,0.00505,0.00505
102,8136.75,0.76151,0.56258,1.13847,0.86701,0.88202,0.8898,0.68884,0.3387,0.21991,0.35911,0.0050005,0.0050005,0.0050005
103,8216.1,0.7571,0.56045,1.13885,0.88345,0.88008,0.8933,0.69444,0.33971,0.22497,0.35916,0.004951,0.004951,0.004951
104,8295.49,0.75145,0.55559,1.13474,0.89253,0.8761,0.89417,0.6938,0.33901,0.22932,0.35989,0.0049015,0.0049015,0.0049015
105,8374.62,0.76133,0.56528,1.14188,0.88533,0.87752,0.89341,0.69764,0.33885,0.22812,0.35947,0.004852,0.004852,0.004852
106,8453.89,0.74931,0.55414,1.1348,0.88777,0.8804,0.89202,0.69891,0.33882,0.23215,0.35896,0.0048025,0.0048025,0.0048025
107,8533.1,0.74874,0.55028,1.13057,0.90087,0.85539,0.89335,0.70086,0.33798,0.24086,0.35866,0.004753,0.004753,0.004753
108,8612.35,0.7406,0.54779,1.12676,0.90256,0.85537,0.89351,0.70207,0.33783,0.25123,0.36003,0.0047035,0.0047035,0.0047035
109,8692.1,0.7418,0.54525,1.12633,0.88396,0.87839,0.89404,0.70468,0.33795,0.25172,0.36174,0.004654,0.004654,0.004654
110,8771.89,0.73249,0.54051,1.11848,0.88491,0.88044,0.89428,0.70212,0.33898,0.27303,0.36305,0.0046045,0.0046045,0.0046045
111,8851.19,0.73012,0.53604,1.11732,0.87882,0.88147,0.89214,0.70183,0.33883,0.26914,0.36343,0.004555,0.004555,0.004555
112,8930.44,0.72813,0.5428,1.12325,0.88016,0.88464,0.89114,0.70351,0.33883,0.27381,0.36435,0.0045055,0.0045055,0.0045055
113,9009.6,0.72118,0.5323,1.11904,0.88097,0.8711,0.88817,0.7028,0.33817,0.29008,0.36476,0.004456,0.004456,0.004456
114,9088.86,0.72319,0.53428,1.11636,0.89521,0.86745,0.88948,0.70535,0.33866,0.2824,0.36527,0.0044065,0.0044065,0.0044065
115,9168.58,0.72184,0.53263,1.11875,0.90198,0.85362,0.88887,0.70337,0.33889,0.27791,0.3661,0.004357,0.004357,0.004357
116,9247.8,0.72397,0.53274,1.115,0.8925,0.85607,0.88594,0.70289,0.33923,0.26981,0.3667,0.0043075,0.0043075,0.0043075
117,9327.14,0.71715,0.52729,1.11083,0.8917,0.85685,0.88579,0.70181,0.33972,0.27832,0.36609,0.004258,0.004258,0.004258
118,9406.55,0.71011,0.52338,1.10838,0.89669,0.85316,0.88636,0.70175,0.33879,0.27792,0.36586,0.0042085,0.0042085,0.0042085
119,9486.27,0.71181,0.51986,1.10754,0.89476,0.85364,0.88819,0.70292,0.33896,0.2699,0.36647,0.004159,0.004159,0.004159
120,9565.61,0.71042,0.52277,1.10729,0.90254,0.84849,0.8887,0.70284,0.3397,0.26931,0.36734,0.0041095,0.0041095,0.0041095
121,9644.88,0.70184,0.51532,1.10378,0.90181,0.84314,0.88811,0.70356,0.34067,0.26559,0.36776,0.00406,0.00406,0.00406
122,9724.06,0.70603,0.52074,1.10614,0.90188,0.84444,0.88903,0.70202,0.34025,0.24915,0.36766,0.0040105,0.0040105,0.0040105
123,9803.19,0.709,0.52461,1.10928,0.89525,0.85004,0.88936,0.70211,0.34068,0.2439,0.36786,0.003961,0.003961,0.003961
124,9882.55,0.69911,0.51656,1.09964,0.86988,0.873,0.89063,0.70483,0.34098,0.24851,0.36886,0.0039115,0.0039115,0.0039115
125,9961.76,0.6961,0.51309,1.09885,0.87363,0.873,0.89255,0.70351,0.34108,0.26122,0.36876,0.003862,0.003862,0.003862
126,10041,0.6961,0.51429,1.1004,0.87306,0.873,0.89311,0.70517,0.34072,0.27316,0.36817,0.0038125,0.0038125,0.0038125
127,10121,0.68344,0.50615,1.09158,0.87239,0.873,0.89261,0.70484,0.34075,0.27591,0.36737,0.003763,0.003763,0.003763
128,10200.1,0.68576,0.50839,1.09545,0.87341,0.873,0.89308,0.70417,0.3408,0.27448,0.36778,0.0037135,0.0037135,0.0037135
129,10279.5,0.69318,0.51289,1.10066,0.87306,0.87205,0.8933,0.70488,0.34129,0.26311,0.36803,0.003664,0.003664,0.003664
130,10358.9,0.68873,0.50844,1.0931,0.87046,0.87203,0.89343,0.70687,0.34241,0.25535,0.36927,0.0036145,0.0036145,0.0036145
131,10438.9,0.68102,0.50043,1.08928,0.90159,0.8469,0.89301,0.70737,0.34233,0.24692,0.36845,0.003565,0.003565,0.003565
132,10518.5,0.67414,0.49801,1.08757,0.90894,0.84057,0.88999,0.70517,0.34209,0.23,0.36918,0.0035155,0.0035155,0.0035155
133,10597.7,0.67302,0.49454,1.08701,0.91045,0.83996,0.89022,0.70533,0.3421,0.21664,0.36873,0.003466,0.003466,0.003466
134,10677,0.66831,0.49584,1.08463,0.91206,0.84026,0.89011,0.70422,0.34234,0.20923,0.36895,0.0034165,0.0034165,0.0034165
135,10756.7,0.67451,0.5015,1.08896,0.91176,0.84242,0.89008,0.70588,0.34202,0.20595,0.36942,0.003367,0.003367,0.003367
136,10836.2,0.66224,0.48901,1.0806,0.91089,0.84219,0.88953,0.70486,0.34222,0.20605,0.36949,0.0033175,0.0033175,0.0033175
137,10915.4,0.66267,0.49094,1.07921,0.91077,0.84246,0.88967,0.70593,0.34206,0.20068,0.36935,0.003268,0.003268,0.003268
138,10994.5,0.66455,0.49256,1.08421,0.9086,0.84384,0.88827,0.7032,0.34263,0.19917,0.37014,0.0032185,0.0032185,0.0032185
139,11073.6,0.65518,0.48883,1.07793,0.91072,0.84385,0.88908,0.70188,0.34295,0.19598,0.37072,0.003169,0.003169,0.003169
140,11152.9,0.66149,0.48654,1.08035,0.90947,0.84355,0.88772,0.70204,0.34304,0.19215,0.3704,0.0031195,0.0031195,0.0031195
141,11232.7,0.65547,0.48328,1.07556,0.90973,0.8443,0.88778,0.70023,0.34291,0.18771,0.37059,0.00307,0.00307,0.00307
142,11311.9,0.65005,0.47767,1.07156,0.90975,0.84595,0.89018,0.69985,0.34298,0.18488,0.37029,0.0030205,0.0030205,0.0030205
143,11391.2,0.65326,0.48111,1.07555,0.90983,0.84732,0.88991,0.70214,0.34282,0.18656,0.37057,0.002971,0.002971,0.002971
144,11470.4,0.64784,0.47977,1.07314,0.90599,0.84763,0.89002,0.7019,0.3431,0.18692,0.37111,0.0029215,0.0029215,0.0029215
145,11549.4,0.64612,0.47698,1.07286,0.90348,0.84804,0.89034,0.69963,0.34403,0.18635,0.37384,0.002872,0.002872,0.002872
146,11628.7,0.64277,0.47507,1.07039,0.90316,0.84798,0.8898,0.7002,0.34359,0.18379,0.37384,0.0028225,0.0028225,0.0028225
147,11708.2,0.63822,0.47415,1.06616,0.90123,0.84802,0.89056,0.70013,0.34349,0.18635,0.37367,0.002773,0.002773,0.002773
148,11787.3,0.63706,0.46996,1.06619,0.90115,0.84803,0.89057,0.70113,0.34346,0.18556,0.37378,0.0027235,0.0027235,0.0027235
149,11866.4,0.63623,0.47086,1.06712,0.901,0.84794,0.89055,0.70101,0.34345,0.18502,0.37364,0.002674,0.002674,0.002674
150,11945.6,0.63314,0.47118,1.06592,0.90099,0.84787,0.88779,0.69868,0.34351,0.18498,0.37396,0.0026245,0.0026245,0.0026245
151,12024.8,0.63471,0.47005,1.0652,0.90088,0.84763,0.88781,0.69906,0.34343,0.18236,0.37417,0.002575,0.002575,0.002575
