epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
96,4571.92,1.01642,0.80484,1.3223,0.84193,0.82636,0.89722,0.6667,0.33702,0.98829,0.34633,0.0052975,0.0052975,0.0052975
97,4619.16,1.01676,0.79991,1.31925,0.80858,0.86484,0.89824,0.66154,0.33691,0.88626,0.34664,0.005248,0.005248,0.005248
98,4666.35,1.01936,0.79813,1.32303,0.82795,0.84075,0.89373,0.6557,0.33754,0.82165,0.34634,0.0051985,0.0051985,0.0051985
99,4713.61,1.00184,0.79105,1.31534,0.81336,0.8631,0.89425,0.66,0.33783,0.87929,0.34517,0.005149,0.005149,0.005149
100,4760.87,1.00261,0.78719,1.31221,0.82668,0.84476,0.89483,0.65953,0.33787,0.88939,0.34605,0.0050995,0.0050995,0.0050995
101,4808.02,0.99604,0.78671,1.30756,0.83011,0.83969,0.89418,0.66279,0.34021,0.81464,0.34753,0.00505,0.00505,0.00505
102,4855.34,1.00373,0.78323,1.30919,0.84005,0.84759,0.89684,0.66398,0.3407,0.76673,0.34798,0.0050005,0.0050005,0.0050005
103,4902.72,0.99758,0.78258,1.30753,0.82104,0.84126,0.89749,0.66517,0.34259,0.70834,0.34897,0.004951,0.004951,0.004951
104,4949.99,0.99207,0.77232,1.30189,0.85066,0.8206,0.89948,0.66866,0.34426,0.6761,0.34964,0.0049015,0.0049015,0.0049015
105,4997.46,1.00411,0.78834,1.31202,0.88042,0.7829,0.89951,0.66791,0.34282,0.66016,0.34819,0.004852,0.004852,0.004852
106,5044.72,0.99345,0.77443,1.30527,0.83578,0.82148,0.90169,0.66847,0.3414,0.6544,0.34764,0.0048025,0.0048025,0.0048025
107,5092.24,0.99067,0.76783,1.29555,0.84218,0.81872,0.90107,0.66973,0.33966,0.66666,0.34652,0.004753,0.004753,0.004753
108,5139.69,0.98386,0.76897,1.29556,0.85339,0.82526,0.90014,0.66544,0.33919,0.69476,0.34654,0.0047035,0.0047035,0.0047035
109,5186.93,0.98828,0.76295,1.29586,0.86515,0.81673,0.89987,0.66631,0.33833,0.68622,0.34567,0.004654,0.004654,0.004654
110,5234.43,0.97314,0.75364,1.28296,0.84975,0.84375,0.89924,0.66628,0.33998,0.70583,0.34659,0.0046045,0.0046045,0.0046045
111,5281.78,0.97393,0.75214,1.28299,0.85288,0.84409,0.89829,0.67077,0.33984,0.78311,0.34626,0.004555,0.004555,0.004555
